3,49,[1,-2,-1,1],[7],7,1//14
3,49,[1,-2,-1,1],[8],8,1//12
3,49,[1,-2,-1,1],[13],13,1//7
3,49,[1,-2,-1,1],[13],13,1//7
3,49,[1,-2,-1,1],[13],13,1//7
3,49,[1,-2,-1,1],[29],29,1//3
3,49,[1,-2,-1,1],[29],29,1//3
3,49,[1,-2,-1,1],[29],29,1//3
3,49,[1,-2,-1,1],[43],43,1//2
3,49,[1,-2,-1,1],[43],43,1//2
3,49,[1,-2,-1,1],[43],43,1//2
3,81,[-1,-3,0,1],[3],3,1//18
3,81,[-1,-3,0,1],[3],9,2//9
3,81,[-1,-3,0,1],[3],27,2//3
3,81,[-1,-3,0,1],[3],27,2//3
3,81,[-1,-3,0,1],[3],24,1//2
3,81,[-1,-3,0,1],[3],72,2
3,81,[-1,-3,0,1],[19],19,1//2
3,81,[-1,-3,0,1],[19],19,1//2
3,81,[-1,-3,0,1],[19],19,1//2
3,81,[-1,-3,0,1],[37],37,1
3,81,[-1,-3,0,1],[37],37,1
3,81,[-1,-3,0,1],[37],37,1
3,148,[1,-3,-1,1],[2],2,1//12
3,148,[1,-3,-1,1],[2],4,1//4
3,148,[1,-3,-1,1],[2],10,1//2
3,148,[1,-3,-1,1],[2],50,2
3,148,[1,-3,-1,1],[5],5,1//3
3,148,[1,-3,-1,1],[5],10,1
3,148,[1,-3,-1,1],[5],20,1
3,148,[1,-3,-1,1],[5],25,2
3,148,[1,-3,-1,1],[13],13,1
3,169,[-1,-4,-1,1],[5],5,1//3
3,169,[-1,-4,-1,1],[5],25,2
3,169,[-1,-4,-1,1],[5],5,1//3
3,169,[-1,-4,-1,1],[5],25,2
3,169,[-1,-4,-1,1],[5],5,1//3
3,169,[-1,-4,-1,1],[5],25,2
3,169,[-1,-4,-1,1],[13],13,1
3,229,[-1,-4,0,1],[2],2,1//6
3,229,[-1,-4,0,1],[2],16,2
3,229,[-1,-4,0,1],[2],8,2//3
3,229,[-1,-4,0,1],[2],4,1//2
3,229,[-1,-4,0,1],[2],8,1
3,229,[-1,-4,0,1],[2],16,2
3,229,[-1,-4,0,1],[2],32,2
3,229,[-1,-4,0,1],[4],4,1//2
3,229,[-1,-4,0,1],[4],16,1
3,229,[-1,-4,0,1],[7],7,1
3,229,[-1,-4,0,1],[7],28,2
3,257,[3,-4,-1,1],[3],3,1//3
3,257,[3,-4,-1,1],[5],5,2//3
3,257,[3,-4,-1,1],[5],25,4
3,257,[3,-4,-1,1],[7],7,1
3,316,[2,-4,-1,1],[2],2,1//3
3,316,[2,-4,-1,1],[2],4,1
3,316,[2,-4,-1,1],[2],4,1
3,316,[2,-4,-1,1],[2],8,1
3,321,[1,-4,-1,1],[3],3,1//2
3,321,[1,-4,-1,1],[3],9,2
4,725,[1,1,-3,-1,1],[],1,1//60
4,725,[1,1,-3,-1,1],[],11,1//5
4,725,[1,1,-3,-1,1],[],121,2
4,725,[1,1,-3,-1,1],[],11,1//5
4,725,[1,1,-3,-1,1],[],121,2
4,725,[1,1,-3,-1,1],[],19,1//3
4,725,[1,1,-3,-1,1],[],19,1//3
4,725,[1,1,-3,-1,1],[],29,1//2
4,1125,[1,4,-4,-1,1],[],1,1//30
4,1125,[1,4,-4,-1,1],[],5,1//5
4,1125,[1,4,-4,-1,1],[],25,2//3
4,1125,[1,4,-4,-1,1],[],25,1
4,1125,[1,4,-4,-1,1],[],9,1//3
4,1125,[1,4,-4,-1,1],[],29,1
4,1125,[1,4,-4,-1,1],[],29,1
4,1125,[1,4,-4,-1,1],[],29,1
4,1125,[1,4,-4,-1,1],[],29,1
4,1125,[1,4,-4,-1,1],[],59,2
4,1125,[1,4,-4,-1,1],[],59,2
4,1125,[1,4,-4,-1,1],[],59,2
4,1125,[1,4,-4,-1,1],[],59,2
4,1125,[1,4,-4,-1,1],[],1,1//30
4,1125,[1,4,-4,-1,1],[5,16],80,2
4,1957,[1,-1,-4,0,1],[],1,1//12
4,1957,[1,-1,-4,0,1],[],3,1//3
4,1957,[1,-1,-4,0,1],[],27,2
4,1957,[1,-1,-4,0,1],[],9,1
4,1957,[1,-1,-4,0,1],[],9,1//2
4,1957,[1,-1,-4,0,1],[],9,2//3
4,1957,[1,-1,-4,0,1],[],27,2
4,2000,[5,0,-5,0,1],[],1,1//12
4,2000,[5,0,-5,0,1],[],5,1//2
4,2000,[5,0,-5,0,1],[],25,2
4,2000,[5,0,-5,0,1],[4,5],20,1
4,2304,[1,0,-4,0,1],[],1,1//8
4,2304,[1,0,-4,0,1],[],4,1//4
4,2304,[1,0,-4,0,1],[],16,1
4,2304,[1,0,-4,0,1],[2,9],18,1
4,2777,[2,1,-4,-1,1],[],1,1//6
4,2777,[2,1,-4,-1,1],[],2,1//2
4,2777,[2,1,-4,-1,1],[],8,1
4,2777,[2,1,-4,-1,1],[],4,1
4,2777,[2,1,-4,-1,1],[],4,1//3
4,2777,[2,1,-4,-1,1],[],4,1//2
4,2777,[2,1,-4,-1,1],[],16,2
4,4352,[2,-4,-6,0,1],[],1,1//3
4,4352,[2,-4,-6,0,1],[],2,1
4,4352,[2,-4,-6,0,1],[],8,2
4,4352,[2,-4,-6,0,1],[],4,2
4,4352,[2,-4,-6,0,1],[],4,2//3
4,4352,[2,-4,-6,0,1],[],4,1
4,4352,[2,-4,-6,0,1],[2,7],14,2
4,4352,[2,-4,-6,0,1],[2,7],14,2
4,4752,[1,4,-3,-2,1],[],1,1//3
4,4752,[1,4,-3,-2,1],[3,4],12,2
4,5125,[11,7,-6,-2,1],[],1,1//3
4,9909,[3,-3,-6,0,1],[],1,1
4,10512,[1,-6,-7,0,1],[],1,1
4,10512,[1,-6,-7,0,1],[],1,1
5,24217,[1,3,-1,-5,0,1],[5],5,1//3
5,24217,[1,3,-1,-5,0,1],[5],25,2
5,36497,[-1,1,5,-3,-2,1],[3],3,1//3
5,38569,[-1,4,0,-5,0,1],[7],7,1
5,38569,[-1,4,0,-5,0,1],[13],13,2
6,453789,[1,-8,8,6,-6,-1,1],[],1,1//6
6,1397493,[1,-6,3,10,-3,-3,1],[],1,1
